Campus Nacional,88,2023-05-23,10:13:11
Carlos E. Restrepo,5,2023-05-23,10:13:41
Campus Nacional,87,2023-05-23,10:14:01
Campus Nacional,88,2023-05-23,10:14:11
Suramericana,1,2023-05-23,10:14:21
Suramericana,0,2023-05-23,10:14:41
Suramericana,1,2023-05-23,10:17:11
Suramericana,0,2023-05-23,10:17:31
Colombia,2,2023-05-23,10:18:11
Campus Nacional,87,2023-05-23,10:18:41
Campus Nacional,88,2023-05-23,10:18:51
Suramericana,1,2023-05-23,10:19:12
Campus Nacional,87,2023-05-23,10:19:22
Suramericana,2,2023-05-23,10:19:32
Suramericana,1,2023-05-23,10:19:52
Colombia,3,2023-05-23,10:20:11
Carlos E. Restrepo,6,2023-05-23,10:21:01
Campus Nacional,88,2023-05-23,10:21:51
Campus Nacional,89,2023-05-23,10:22:12
Campus Nacional,88,2023-05-23,10:22:42
Campus Nacional,87,2023-05-23,10:23:01
Campus Nacional,88,2023-05-23,10:23:11
Campus Nacional,87,2023-05-23,10:23:21
Suramericana,0,2023-05-23,10:24:31
Campus Nacional,88,2023-05-23,10:25:32
Campus Nacional,87,2023-05-23,10:25:52
Suramericana,1,2023-05-23,10:26:41
Campus Nacional,86,2023-05-23,10:27:31
Campus Nacional,73,2023-05-23,10:30:31
Suramericana,0,2023-05-23,10:31:02
Campus Nacional,74,2023-05-23,10:31:52
Colombia,2,2023-05-23,10:36:01
Colombia,3,2023-05-23,10:36:21
Carlos E. Restrepo,5,2023-05-23,10:36:41
Carlos E. Restrepo,6,2023-05-23,10:37:32
Campus Nacional,61,2023-05-23,10:37:42
Colombia,2,2023-05-23,10:37:52
Carlos E. Restrepo,7,2023-05-23,10:38:11
Campus Nacional,62,2023-05-23,10:42:31
Campus Nacional,46,2023-05-23,10:43:31
Campus Nacional,32,2023-05-23,10:43:41
Campus Nacional,33,2023-05-23,10:44:01
Carlos E. Restrepo,8,2023-05-23,10:45:11
Campus Nacional,34,2023-05-23,10:46:21
Suramericana,1,2023-05-23,10:47:21
Suramericana,0,2023-05-23,10:47:41
Suramericana,1,2023-05-23,10:48:01
Campus Nacional,33,2023-05-23,10:48:31
Campus Nacional,34,2023-05-23,10:51:31
Campus Nacional,33,2023-05-23,10:51:41
Campus Nacional,34,2023-05-23,10:53:01
Suramericana,0,2023-05-23,10:53:41
Suramericana,4,2023-05-23,10:54:22
Suramericana,14,2023-05-23,10:54:32
Campus Nacional,35,2023-05-23,10:56:01
Suramericana,13,2023-05-23,10:56:31
Colombia,3,2023-05-23,10:57:02
Colombia,4,2023-05-23,10:59:11
Suramericana,14,2023-05-23,11:00:32
Colombia,3,2023-05-23,11:01:41
Suramericana,13,2023-05-23,11:02:51
Suramericana,14,2023-05-23,11:03:11
Suramericana,13,2023-05-23,11:03:31
Suramericana,12,2023-05-23,11:04:21
Campus Nacional,34,2023-05-23,11:04:21
Campus Nacional,35,2023-05-23,11:04:41
Suramericana,11,2023-05-23,11:04:51
Campus Nacional,34,2023-05-23,11:04:51
Suramericana,10,2023-05-23,11:05:11
Campus Nacional,33,2023-05-23,11:05:11
Suramericana,9,2023-05-23,11:05:41
Suramericana,8,2023-05-23,11:06:01
Campus Nacional,32,2023-05-23,11:07:11
Suramericana,7,2023-05-23,11:07:41
Campus Nacional,33,2023-05-23,11:07:41
Campus Nacional,32,2023-05-23,11:08:01
Campus Nacional,31,2023-05-23,11:08:41
Colombia,4,2023-05-23,11:12:32
Carlos E. Restrepo,7,2023-05-23,11:12:32
Campus Nacional,32,2023-05-23,11:13:41
Campus Nacional,33,2023-05-23,11:14:11
Campus Nacional,34,2023-05-23,11:14:21
Campus Nacional,32,2023-05-23,11:14:51
Suramericana,8,2023-05-23,11:15:02
Carlos E. Restrepo,8,2023-05-23,11:15:12
Suramericana,7,2023-05-23,11:16:11
Campus Nacional,31,2023-05-23,11:16:11
Suramericana,6,2023-05-23,11:16:31
Campus Nacional,30,2023-05-23,11:16:31
Campus Nacional,29,2023-05-23,11:16:41
Carlos E. Restrepo,9,2023-05-23,11:16:51
Campus Nacional,28,2023-05-23,11:16:51
Suramericana,5,2023-05-23,11:17:01
Campus Nacional,27,2023-05-23,11:17:31
Suramericana,4,2023-05-23,11:18:12
Campus Nacional,28,2023-05-23,11:19:41
Suramericana,3,2023-05-23,11:20:11
Campus Nacional,27,2023-05-23,11:20:31
Campus Nacional,26,2023-05-23,11:21:02
Suramericana,15,2023-05-23,11:21:12
Campus Nacional,27,2023-05-23,11:21:42
Campus Nacional,26,2023-05-23,11:21:52
Campus Nacional,25,2023-05-23,11:22:21
Campus Nacional,23,2023-05-23,11:23:11
Colombia,5,2023-05-23,11:24:11
Colombia,6,2023-05-23,11:24:21
Colombia,7,2023-05-23,11:24:51
Carlos E. Restrepo,10,2023-05-23,11:25:51
Suramericana,14,2023-05-23,11:26:31
Campus Nacional,16,2023-05-23,11:26:31
Colombia,8,2023-05-23,11:28:31
Campus Nacional,15,2023-05-23,11:28:31
Suramericana,13,2023-05-23,11:29:01
Suramericana,14,2023-05-23,11:30:02
Campus Nacional,14,2023-05-23,11:30:02
Campus Nacional,15,2023-05-23,11:30:41
Suramericana,13,2023-05-23,11:30:51
Suramericana,14,2023-05-23,11:31:01
Suramericana,13,2023-05-23,11:33:01
Suramericana,12,2023-05-23,11:33:21
Suramericana,11,2023-05-23,11:34:01
Suramericana,10,2023-05-23,11:33:41
Colombia,9,2023-05-23,11:34:31
Campus Nacional,16,2023-05-23,11:34:31
Suramericana,9,2023-05-23,11:34:41
Suramericana,10,2023-05-23,11:35:11
Campus Nacional,17,2023-05-23,11:35:11
Suramericana,11,2023-05-23,11:35:31
Campus Nacional,16,2023-05-23,11:35:41
Suramericana,12,2023-05-23,11:36:31
Suramericana,13,2023-05-23,11:36:51
Campus Nacional,17,2023-05-23,11:36:51
Suramericana,12,2023-05-23,11:37:11
